case_id,lot_id,scenario_id,ground_truth_label,expected_decision,expected_abstention,expected_root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,evidence_type,source_rca_case_id,is_synthetic_anomaly,is_benign_drift
RAG_BENIGN_RECIPE_MIX_SYNV2_00541,SYNV2_00541,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00543,SYNV2_00543,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00544,SYNV2_00544,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00545,SYNV2_00545,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00546,SYNV2_00546,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00550,SYNV2_00550,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00551,SYNV2_00551,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00554,SYNV2_00554,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00555,SYNV2_00555,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00557,SYNV2_00557,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00558,SYNV2_00558,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
RAG_BENIGN_RECIPE_MIX_SYNV2_00559,SYNV2_00559,BENIGN_RECIPE_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign recipe_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001,process_change,RCA_BENIGN_DRIFT_001,0,1
