case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_ABRUPT_002,SYNV2_00002,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00002,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_008,SYNV2_00088,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00088,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_009,SYNV2_00157,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00157,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_015,SYNV2_00199,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00199,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_028,SYNV2_00325,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00325,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_030,SYNV2_00349,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00349,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_031,SYNV2_00352,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00352,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_033,SYNV2_00386,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00386,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_038,SYNV2_00450,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00450,False,RC_PRESSURE_INSTABILITY
RCA_ABRUPT_046,SYNV2_00547,RC_PRESSURE_INSTABILITY,Synthetic abrupt process mean shift in a correlated sensor group.,"Inspect chamber pressure-control behavior, compare adjacent lots, and verify sensor calibration.",Synthetic anomaly injected for controlled evaluation.,EVID_ALARM_ABRUPT_001;EVID_SHIFT_SYNV2_00547,False,RC_PRESSURE_INSTABILITY
RCA_GRADUAL_010,SYNV2_00129,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00129,False,RC_COMPONENT_WEAR
RCA_GRADUAL_013,SYNV2_00149,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00149,False,RC_COMPONENT_WEAR
RCA_GRADUAL_016,SYNV2_00184,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00184,False,RC_COMPONENT_WEAR
RCA_GRADUAL_020,SYNV2_00236,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00236,False,RC_COMPONENT_WEAR
RCA_GRADUAL_025,SYNV2_00332,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00332,False,RC_COMPONENT_WEAR
RCA_GRADUAL_033,SYNV2_00448,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00448,False,RC_COMPONENT_WEAR
RCA_GRADUAL_034,SYNV2_00521,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00521,False,RC_COMPONENT_WEAR
RCA_GRADUAL_040,SYNV2_00585,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00585,False,RC_COMPONENT_WEAR
RCA_GRADUAL_043,SYNV2_00643,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00643,False,RC_COMPONENT_WEAR
RCA_GRADUAL_045,SYNV2_00669,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00669,False,RC_COMPONENT_WEAR
RCA_VARIANCE_006,SYNV2_00204,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00204,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_011,SYNV2_00240,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00240,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_013,SYNV2_00258,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00258,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_015,SYNV2_00299,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00299,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_022,SYNV2_00396,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00396,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_029,SYNV2_00477,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00477,False,RC_PROCESS_VARIABILITY
