case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00605,SYNV2_00605,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00605,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00607,SYNV2_00607,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00607,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00641,SYNV2_00641,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00641,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00650,SYNV2_00650,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00650,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00660,SYNV2_00660,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00660,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00672,SYNV2_00672,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00672,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00681,SYNV2_00681,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00681,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00699,SYNV2_00699,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00699,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00711,SYNV2_00711,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00711,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00728,SYNV2_00728,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00728,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00732,SYNV2_00732,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00732,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00250,SYNV2_00250,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00250,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00305,SYNV2_00305,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00305,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00320,SYNV2_00320,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00320,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00342,SYNV2_00342,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00342,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00351,SYNV2_00351,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00351,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00355,SYNV2_00355,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00355,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00363,SYNV2_00363,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00363,False,RC_SENSOR_HARDWARE
