case_id,lot_id,scenario_id,ground_truth_label,expected_decision,expected_abstention,expected_root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,evidence_type,source_rca_case_id,is_synthetic_anomaly,is_benign_drift
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01202,SYNV2_01202,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01203,SYNV2_01203,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01204,SYNV2_01204,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01205,SYNV2_01205,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01206,SYNV2_01206,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01207,SYNV2_01207,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01208,SYNV2_01208,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01209,SYNV2_01209,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01210,SYNV2_01210,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
RAG_BENIGN_TOOL_REASSIGNMENT_SYNV2_01211,SYNV2_01211,BENIGN_TOOL_REASSIGNMENT,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign tool_reassignment; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003,process_change,RCA_BENIGN_DRIFT_003,0,1
