case_id,lot_id,scenario_id,ground_truth_label,expected_decision,expected_abstention,expected_root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,evidence_type,source_rca_case_id,is_synthetic_anomaly,is_benign_drift
RAG_BENIGN_PRODUCT_MIX_SYNV2_00749,SYNV2_00749,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00750,SYNV2_00750,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00751,SYNV2_00751,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00752,SYNV2_00752,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00753,SYNV2_00753,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00754,SYNV2_00754,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00755,SYNV2_00755,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00758,SYNV2_00758,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00762,SYNV2_00762,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
RAG_BENIGN_PRODUCT_MIX_SYNV2_00763,SYNV2_00763,BENIGN_PRODUCT_MIX,benign_distribution_shift,abstain_or_no_escalation,True,RC_BENIGN_MIX_CHANGE,Synthetic benign product_mix_change; not a process fault.,"Verify the scheduled context change, compare only within the appropriate recipe/product/tool context, and do not trigger corrective maintenance solely from this distribution shift.",Known benign distribution shift; no synthetic quality anomaly was injected.,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002,process_change,RCA_BENIGN_DRIFT_002,0,1
